disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Anguilla,2024,0,OWID
COVID_001,COVID-19,Antigua and Barbuda,2020,0,OWID
COVID_001,COVID-19,Antigua and Barbuda,2021,0,OWID
COVID_001,COVID-19,Antigua and Barbuda,2022,0,OWID
COVID_001,COVID-19,Antigua and Barbuda,2023,0,OWID
COVID_001,COVID-19,Antigua and Barbuda,2024,0,OWID
COVID_001,COVID-19,Argentina,2020,0,OWID
COVID_001,COVID-19,Argentina,2021,0,OWID
COVID_001,COVID-19,Argentina,2022,0,OWID
COVID_001,COVID-19,Argentina,2023,72558,OWID
COVID_001,COVID-19,Argentina,2024,0,OWID
COVID_001,COVID-19,Armenia,2020,0,OWID
COVID_001,COVID-19,Armenia,2021,0,OWID
COVID_001,COVID-19,Armenia,2022,0,OWID
COVID_001,COVID-19,Armenia,2023,37,OWID
COVID_001,COVID-19,Armenia,2024,0,OWID
COVID_001,COVID-19,Aruba,2020,0,OWID
COVID_001,COVID-19,Aruba,2021,0,OWID
COVID_001,COVID-19,Aruba,2022,0,OWID
COVID_001,COVID-19,Aruba,2023,108,OWID
COVID_001,COVID-19,Aruba,2024,0,OWID
COVID_001,COVID-19,Asia,2020,1,OWID
COVID_001,COVID-19,Asia,2021,0,OWID
COVID_001,COVID-19,Asia,2022,0,OWID
COVID_001,COVID-19,Asia,2023,26088587,OWID
COVID_001,COVID-19,Asia,2024,0,OWID
COVID_001,COVID-19,Australia,2020,0,OWID
COVID_001,COVID-19,Australia,2021,0,OWID
COVID_001,COVID-19,Australia,2022,0,OWID
COVID_001,COVID-19,Australia,2023,91518,OWID
COVID_001,COVID-19,Australia,2024,0,OWID
COVID_001,COVID-19,Austria,2020,0,OWID
COVID_001,COVID-19,Austria,2021,0,OWID
COVID_001,COVID-19,Austria,2022,0,OWID
COVID_001,COVID-19,Austria,2023,26728,OWID
COVID_001,COVID-19,Austria,2024,0,OWID
COVID_001,COVID-19,Azerbaijan,2020,0,OWID
COVID_001,COVID-19,Azerbaijan,2021,0,OWID
COVID_001,COVID-19,Azerbaijan,2022,0,OWID
COVID_001,COVID-19,Azerbaijan,2023,508,OWID
COVID_001,COVID-19,Azerbaijan,2024,0,OWID
COVID_001,COVID-19,Bahamas,2020,0,OWID
COVID_001,COVID-19,Bahamas,2021,0,OWID
COVID_001,COVID-19,Bahamas,2022,0,OWID
COVID_001,COVID-19,Bahamas,2023,0,OWID
COVID_001,COVID-19,Bahamas,2024,0,OWID
COVID_001,COVID-19,Bahrain,2020,0,OWID
COVID_001,COVID-19,Bahrain,2021,0,OWID
COVID_001,COVID-19,Bahrain,2022,0,OWID
COVID_001,COVID-19,Bahrain,2023,0,OWID
COVID_001,COVID-19,Bahrain,2024,0,OWID
COVID_001,COVID-19,Bangladesh,2020,0,OWID
COVID_001,COVID-19,Bangladesh,2021,0,OWID
COVID_001,COVID-19,Bangladesh,2022,0,OWID
COVID_001,COVID-19,Bangladesh,2023,118,OWID
COVID_001,COVID-19,Bangladesh,2024,0,OWID
COVID_001,COVID-19,Barbados,2020,0,OWID
COVID_001,COVID-19,Barbados,2021,0,OWID
