indicator_code,indicator_name,spatial_dim_type,spatial_dim,time_dim_type,time_dim,time_dim_value,dim1_type,dim1,dim2_type,dim2,dim3_type,dim3,data_source,value,numeric_value,low,high,comments,date_added,scraped_at
TB_notif_num,,COUNTRY,SVK,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,85,85.0,,,,,2026-06-15T20:42:33.809825
TB_notif_num,,COUNTRY,PAK,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,343 024,343024.0,,,,,2026-06-15T20:42:33.809826
TB_notif_num,,COUNTRY,LCA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,4,4.0,,,,,2026-06-15T20:42:33.809919
TB_notif_num,,COUNTRY,BHR,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,196,196.0,,,,,2026-06-15T20:42:33.809966
TB_notif_num,,COUNTRY,MDV,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,87,87.0,,,,,2026-06-15T20:42:33.810016
TB_notif_num,,COUNTRY,SGP,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,2461,2461.0,,,,,2026-06-15T20:42:33.810022
TB_notif_num,,COUNTRY,KWT,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,80,80.0,,,,,2026-06-15T20:42:33.810151
TB_notif_num,,COUNTRY,FJI,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,342,342.0,,,,,2026-06-15T20:42:33.810231
TB_notif_num,,COUNTRY,GMB,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,2254,2254.0,,,,,2026-06-15T20:42:33.810268
TB_notif_num,,COUNTRY,HRV,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,16,16.0,,,,,2026-06-15T20:42:33.810271
TB_notif_num,,COUNTRY,IRN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,6199,6199.0,,,,,2026-06-15T20:42:33.810331
TB_notif_num,,COUNTRY,PRI,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,0,0.0,,,,,2026-06-15T20:42:33.810415
TB_notif_num,,COUNTRY,KWT,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,255,255.0,,,,,2026-06-15T20:42:33.810427
TB_notif_num,,COUNTRY,VNM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,16 100,16100.0,,,,,2026-06-15T20:42:33.810446
TB_notif_num,,COUNTRY,DZA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,19 012,19012.0,,,,,2026-06-15T20:42:33.810463
TB_notif_num,,COUNTRY,JAM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,4,4.0,,,,,2026-06-15T20:42:33.810553
TB_notif_num,,COUNTRY,LSO,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,2873,2873.0,,,,,2026-06-15T20:42:33.810554
TB_notif_num,,COUNTRY,MRT,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,2446,2446.0,,,,,2026-06-15T20:42:33.810587
TB_notif_num,,COUNTRY,VEN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,1612,1612.0,,,,,2026-06-15T20:42:33.810604
TB_notif_num,,COUNTRY,ITA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,1703,1703.0,,,,,2026-06-15T20:42:33.810619
TB_notif_num,,COUNTRY,JAM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,9,9.0,,,,,2026-06-15T20:42:33.810625
TB_notif_num,,COUNTRY,SVN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,80,80.0,,,,,2026-06-15T20:42:33.810651
TB_notif_num,,COUNTRY,NAM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,6864,6864.0,,,,,2026-06-15T20:42:33.810654
TB_notif_num,,COUNTRY,COG,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,11 979,11979.0,,,,,2026-06-15T20:42:33.810655
TB_notif_num,,COUNTRY,IRL,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,217,217.0,,,,,2026-06-15T20:42:33.810723
TB_notif_num,,COUNTRY,ISR,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,213,213.0,,,,,2026-06-15T20:42:33.810727
TB_notif_num,,COUNTRY,RWA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,5272,5272.0,,,,,2026-06-15T20:42:33.810730
TB_notif_num,,COUNTRY,DZA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,13 391,13391.0,,,,,2026-06-15T20:42:33.810737
